bin_center,count,bins_left,bins_right,probability,cumulative_probability
0.29871106,5702,0.1919654,0.40545675,0.008558785739159672,0.008558785739159672
0.51220244,27494,0.40545675,0.6189481,0.04126889777489583,0.049827683514055504
0.7256938,50456,0.6189481,0.8324395,0.07573519699316739,0.1255628805072229
0.93918514,61181,0.8324395,1.0459309,0.09183357949974183,0.21739646000696472
1.1526765,64165,1.0459309,1.2594221,0.09631260732255005,0.31370906732951476
1.3661678,61469,1.2594221,1.4729135,0.092265871729289,0.4059749390588038
1.5796592,56620,1.4729135,1.686405,0.08498745151722564,0.4909623905760294
1.7931505,51124,1.686405,1.8998961,0.07673787480336708,0.5677002653793964
2.0066419,44860,1.8998961,2.1133876,0.06733551881071605,0.6350357841901125
2.2201333,39238,2.1133876,2.3268788,0.05889681424643059,0.6939325984365431
2.4336245,33501,2.3268788,2.5403702,0.050285492993263445,0.7442180914298065
2.647116,28302,2.5403702,2.7538617,0.0424817176411254,0.786699809070932
2.8606071,23484,2.7538617,2.9673529,0.035249828884325804,0.8219496379552578
3.0740986,19955,2.9673529,3.1808443,0.029952748057686995,0.8519023860129448
3.28759,17415,3.1808443,3.3943355,0.02614017075543067,0.8780425567683754
3.5010812,14839,3.3943355,3.607827,0.02227355692448095,0.9003161136928564
3.7145727,12340,3.607827,3.8213184,0.01852252122434766,0.9188386349172041
3.9280639,9943,3.8213184,4.0348096,0.014924589022178993,0.933763223939383
4.1415553,8200,4.0348096,4.248301,0.012308320424607035,0.9460715443639901
4.3550467,6969,4.248301,4.4617925,0.010460571346230052,0.9565321157102201
4.568538,5610,4.4617925,4.675284,0.008420692388054325,0.9649528080982744
4.7820296,4610,4.675284,4.8887753,0.006919677702126638,0.9718724858004011
4.995521,3782,4.8887753,5.102267,0.005676837542178513,0.9775493233425796
5.2090125,2955,5.102267,5.315758,0.004435498396916315,0.9819848217394959
5.4225035,2327,5.315758,5.529249,0.0034928611741537278,0.9854776829136497
5.635995,1986,5.529249,5.7427406,0.0029810151662523865,0.988458698079902
5.8494864,1654,5.7427406,5.956232,0.0024826782905243944,0.9909413763704265
6.062978,1307,5.956232,6.1697235,0.0019618261945074872,0.9929032025649339
6.276469,1031,6.1697235,6.383215,0.0015475461411914454,0.9944507487061254
6.4899607,828,6.383215,6.596706,0.0012428401599481249,0.9956935888660735
6.7034516,623,6.596706,6.8101974,0.0009351321493329491,0.9966287210154064
6.916943,474,6.8101974,7.023689,0.0007114809611297237,0.9973402019765362
7.1304345,402,7.023689,7.23718,0.0006034079037429302,0.9979436098802791
7.343926,291,7.23718,7.4506717,0.00043679527360495696,0.998380405153884
7.557417,241,7.4506717,7.6641626,0.00036174453930857257,0.9987421496931926
7.7709084,197,7.6641626,7.877654,0.0002956998931277544,0.9990378495863204
7.9844,143,7.877654,8.0911455,0.00021464510008765926,0.999252494686408
8.197891,114,8.0911455,8.304636,0.00017111567419575633,0.9994236103606038
8.411382,91,8.304636,8.518127,0.00013659233641941953,0.9995602026970232
8.624873,70,8.518127,8.731619,0.0001050710280149381,0.9996652737250381
8.838365,57,8.731619,8.94511,8.555783709787816e-05,0.999750831562136
9.051856,42,8.94511,9.158602,6.304261680896286e-05,0.999813874178945
9.2653475,38,9.158602,9.372093,5.703855806525211e-05,0.9998709127370102
9.478839,26,9.372093,9.585585,3.9026381834119867e-05,0.9999099391188443
9.69233,15,9.585585,9.799076,2.2515220288915307e-05,0.9999324543391332
9.905822,14,9.799076,10.0125675,2.101420560298762e-05,0.9999534685447362
10.119313,7,10.0125675,10.226059,1.050710280149381e-05,0.9999639756475377
10.332805,14,10.226059,10.43955,2.101420560298762e-05,0.9999849898531408
10.546295,6,10.43955,10.653041,9.006088115566123e-06,0.9999939959412563
10.759787,4,10.653041,10.866532,6.0040587437107485e-06,1.0
