bin_center,count,bins_left,bins_right,probability,cumulative_probability
2.4401383,50,2.25132,2.6289566,7.505073429638435e-05,7.505073429638435e-05
2.8177748,250,2.6289566,3.0065932,0.0003752536714819218,0.00045030440577830614
3.1954117,1227,3.0065932,3.3842301,0.001841745019633272,0.0022920494254115784
3.5730486,2930,3.3842301,3.7618668,0.004397973029768123,0.0066900224551797016
3.950685,6051,3.7618668,4.1395035,0.009082639864548435,0.015772662319728136
4.328322,12875,4.1395035,4.5171404,0.019325564081318972,0.03509822640104711
4.705959,20932,4.5171404,4.8947773,0.031419239405838344,0.06651746580688546
5.0835953,27133,4.8947773,5.2724137,0.040727031473275936,0.10724449728016139
5.461232,32753,5.2724137,5.65005,0.04916273400818954,0.15640723128835093
5.8388686,42165,5.65005,6.027687,0.06329028423214093,0.21969751552049185
6.2165055,50389,6.027687,6.405324,0.07563462900921022,0.2953321445297021
6.5941424,39279,6.405324,6.782961,0.05895835584855362,0.3542905003782557
6.971779,55521,6.782961,7.1605973,0.08333783637739112,0.43762833675564683
7.349416,39169,7.1605973,7.538234,0.058793244233101574,0.4964215809887484
7.7270527,52347,7.538234,7.9158707,0.07857361576425664,0.574995196753005
8.104689,36749,7.9158707,8.293508,0.055160788693156576,0.6301559854461616
8.4823265,46173,8.293508,8.6711445,0.0693063510933391,0.6994623365395007
8.859962,27432,8.6711445,9.04878,0.041175834864368314,0.740638171403869
9.237599,35629,9.04878,9.426418,0.05347965224491756,0.7941178236487866
9.615236,18369,9.426418,9.804054,0.027572138765805686,0.8216899624145922
9.992872,25511,9.804054,10.181691,0.038292385652701225,0.8599823480672935
10.37051,15692,10.181691,10.559328,0.023553922451577267,0.8835362705188707
10.748146,14858,10.559328,10.936965,0.022302076203513575,0.9058383467223843
11.125784,16322,10.936965,11.314602,0.02449956170371171,0.9303379084260961
11.50342,7836,11.314602,11.692238,0.011761951078929356,0.9420998595050254
11.881056,9917,11.692238,12.069875,0.014885562640344872,0.9569854221453703
12.258694,8220,12.069875,12.447512,0.012338340718325588,0.9693237628636958
12.63633,3635,12.447512,12.825149,0.005456188383347143,0.974779951247043
13.0139675,4292,12.825149,13.2027855,0.006442355032001633,0.9812223062790446
13.391603,3957,13.2027855,13.580421,0.0059395151122158575,0.9871618213912605
13.769239,2067,13.580421,13.958058,0.003102597355812529,0.990264418747073
14.146877,1453,13.958058,14.335695,0.0021809743386529295,0.992445393085726
14.524513,1711,14.335695,14.713332,0.0025682361276222728,0.9950136292133482
14.902151,1111,14.713332,15.090969,0.0016676273160656605,0.9966812565294139
15.279787,469,15.090969,15.468605,0.0007039758877000852,0.997385232417114
15.657423,470,15.468605,15.846242,0.0007054769023860129,0.9980907093195
16.03506,461,15.846242,16.223879,0.0006919677702126638,0.9987826770897127
16.412697,308,16.223879,16.601517,0.0004623125232657276,0.9992449896129784
16.790335,150,16.601517,16.979153,0.00022515220288915307,0.9994701418158676
17.16797,151,16.979153,17.356789,0.00022665321757508075,0.9996967950334426
17.545607,86,17.356789,17.734425,0.00012908726298978108,0.9998258822964324
17.923244,55,17.734425,18.112062,8.25558077260228e-05,0.9999084381041584
18.30088,24,18.112062,18.489698,3.602435246226449e-05,0.9999444624566207
18.678516,10,18.489698,18.867336,1.501014685927687e-05,0.99995947260348
19.056154,18,18.867336,19.244972,2.7018264346698368e-05,0.9999864908678266
19.433792,4,19.244972,19.62261,6.0040587437107485e-06,0.9999924949265704
19.811428,2,19.62261,20.000246,3.0020293718553743e-06,0.9999954969559423
20.189064,0,20.000246,20.377884,0.0,0.9999954969559423
20.566702,1,20.377884,20.75552,1.5010146859276871e-06,0.9999969979706281
20.944338,2,20.75552,21.133156,3.0020293718553743e-06,1.0
